CODCARRERA,EGRESO,LUGAR_LISTA,PREFERENCIA,DEPENDENCIA,COD_REGION_COLEGIO,PTJE_LENG,PTJE_MAT,PTJE_CIENCIAS,PTJE_HIST,PTJE_RANKING,RETENCION_AL_PRIMER_AÑO,RETENCION_AL_TERCER_AÑO,EXTRANJERO,CIUDAD_SEDE,GRATUIDAD,ETNIA,SEXO_(1F),TIPO_INGRESO_IEP-Excepción Lista espera Rep,TIPO_INGRESO_IRP-Lista de selección,TIPO_INGRESO_Otro ingreso,TIPO_COLEGIO_H1,TIPO_COLEGIO_H2,TIPO_COLEGIO_ND,TIPO_COLEGIO_T1,TIPO_COLEGIO_T2,TIPO_COLEGIO_T3,TIPO_COLEGIO_T5,EDAD_INGRESO
8483,2014,41.0,1.0,2.0,2.0,551.0,527.0,601.0,517.0,612.0,0,0,0,0,0,0,1,False,True,False,True,False,False,False,False,False,False,21
8483,2016,42.0,1.0,3.0,15.0,466.0,564.0,591.0,0.0,599.0,1,1,0,0,0,1,0,False,True,False,True,False,False,False,False,False,False,19
8483,2017,44.0,1.0,2.0,2.0,580.0,570.0,537.0,457.0,605.0,1,1,0,1,0,0,0,False,True,False,True,False,False,False,False,False,False,18
8483,2017,45.0,3.0,3.0,4.0,544.0,448.0,506.0,0.0,718.0,1,0,0,0,0,0,1,False,True,False,False,False,False,False,True,False,False,19
8483,2016,46.0,1.0,3.0,2.0,571.0,523.0,462.0,498.0,688.0,1,0,0,1,0,0,1,False,True,False,False,False,False,False,False,True,False,20
8483,2017,47.0,3.0,3.0,2.0,481.0,544.0,576.0,0.0,576.0,1,1,0,0,0,0,0,False,True,False,True,False,False,False,False,False,False,18
8483,2013,48.0,1.0,2.0,15.0,544.0,581.0,611.0,0.0,507.0,0,0,0,0,0,0,0,False,True,False,True,False,False,False,False,False,False,23
8483,2017,49.0,2.0,2.0,5.0,458.0,575.0,470.0,0.0,641.0,1,1,0,0,0,0,1,False,True,False,True,False,False,False,False,False,False,18
8483,2017,50.0,1.0,3.0,2.0,612.0,570.0,506.0,0.0,569.0,0,0,0,1,0,0,1,False,True,False,True,False,False,False,False,False,False,18
8483,2017,51.0,2.0,2.0,1.0,442.0,518.0,551.0,496.0,612.0,0,0,0,0,0,0,1,False,True,False,True,False,False,False,False,False,False,18
8483,2015,52.0,1.0,3.0,3.0,530.0,507.0,514.0,0.0,618.0,1,0,0,0,0,1,1,False,True,False,True,False,False,False,False,False,False,20
8483,2015,53.0,1.0,3.0,2.0,604.0,558.0,576.0,0.0,523.0,1,0,0,0,0,0,0,False,True,False,True,False,False,False,False,False,False,21
8483,2017,55.0,2.0,3.0,2.0,604.0,631.0,576.0,0.0,486.0,1,1,0,0,0,0,0,False,True,False,True,False,False,False,False,False,False,18
8483,2017,56.0,1.0,3.0,2.0,489.0,448.0,506.0,0.0,672.0,1,0,0,0,0,0,1,False,True,False,True,False,False,False,False,False,False,19
8483,2012,57.0,1.0,3.0,2.0,573.0,586.0,620.0,0.0,478.0,1,0,0,0,0,0,0,False,True,False,False,False,False,False,True,False,False,23
8483,2017,58.0,1.0,2.0,3.0,663.0,596.0,514.0,590.0,525.0,0,0,0,0,0,1,0,False,True,False,False,False,False,False,True,False,False,19
8483,2016,59.0,1.0,3.0,2.0,530.0,581.0,570.0,0.0,519.0,1,1,0,0,0,0,0,False,True,False,False,False,False,False,True,False,False,20
8483,2017,60.0,1.0,2.0,2.0,628.0,610.0,625.0,0.0,431.0,0,0,0,0,0,0,0,False,True,False,True,False,False,False,False,False,False,18
8483,2005,61.0,1.0,2.0,2.0,480.0,523.0,574.0,0.0,553.0,1,1,0,1,0,0,1,False,True,False,True,False,False,False,False,False,False,31
8483,2017,63.0,3.0,2.0,2.0,517.0,601.0,537.0,0.0,517.0,1,1,0,1,0,0,1,False,True,False,True,False,False,False,False,False,False,19
8483,2017,64.0,3.0,2.0,2.0,474.0,536.0,576.0,0.0,523.0,1,1,0,1,0,0,1,False,True,False,True,False,False,False,False,False,False,20
8483,2010,65.0,1.0,3.0,2.0,481.0,481.0,506.0,0.0,628.0,1,1,0,1,0,0,1,False,True,False,False,False,False,False,False,True,False,26
8483,2016,68.0,3.0,3.0,2.0,523.0,601.0,537.0,411.0,496.0,1,1,0,0,0,0,1,False,True,False,True,False,False,False,False,False,False,19
8483,2009,69.0,1.0,2.0,2.0,556.0,494.0,488.0,0.0,583.0,1,1,0,1,0,0,1,False,True,False,True,False,False,False,False,False,False,26
8453,0,0.0,1.0,5.0,2.0,502.0,482.0,475.0,473.0,647.0,1,1,0,1,0,0,1,False,False,True,False,False,True,False,False,False,False,18
8453,0,7.0,2.0,2.0,2.0,509.0,567.0,367.0,0.0,569.0,0,0,0,1,0,0,1,False,True,False,True,False,False,False,False,False,False,19
8453,0,8.0,2.0,2.0,2.0,573.0,564.0,470.0,0.0,492.0,1,1,0,1,0,0,1,False,True,False,True,False,False,False,False,False,False,19
8453,0,15.0,1.0,2.0,4.0,466.0,448.0,495.0,0.0,558.0,1,1,0,0,0,0,1,False,True,False,True,False,False,False,False,False,False,21
8103,0,1.0,1.0,3.0,6.0,572.0,598.0,559.0,598.0,749.0,0,0,0,0,0,0,0,False,False,True,True,False,False,False,False,False,False,19
8103,0,1.0,1.0,2.0,2.0,706.0,764.0,734.0,0.0,780.0,1,1,0,1,0,0,0,False,True,False,True,False,False,False,False,False,False,18
8103,0,2.0,1.0,3.0,2.0,725.0,739.0,636.0,0.0,686.0,1,1,0,0,0,1,0,False,True,False,True,False,False,False,False,False,False,19
